team,yellow_cards,indirect_red_cards,direct_red_cards,team_conduct_score,source_note
Norway,1,0,0,-1,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
France,1,0,0,-1,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Japan,1,0,0,-1,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Croatia,1,0,0,-1,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Germany,1,0,0,-1,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
England,1,0,0,-1,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Jordan,1,0,0,-1,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Algeria,1,0,0,-1,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Czech Republic,1,0,0,-1,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Morocco,1,0,0,-1,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Tunisia,1,0,0,-1,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Spain,2,0,0,-2,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
DR Congo,2,0,0,-2,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Senegal,2,0,0,-2,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Ghana,2,0,0,-2,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Uzbekistan,2,0,0,-2,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Argentina,2,0,0,-2,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Switzerland,3,0,0,-3,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Panama,3,0,0,-3,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Colombia,3,0,0,-3,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Austria,3,0,0,-3,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Turkey,3,0,0,-3,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Netherlands,3,0,0,-3,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Cape Verde,4,0,0,-4,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Ivory Coast,4,0,0,-4,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
South Korea,4,0,0,-4,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Portugal,4,0,0,-4,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
New Zealand,4,0,0,-4,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
United States,5,0,0,-5,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Australia,5,0,0,-5,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Sweden,5,0,0,-5,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Ecuador,5,0,0,-5,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Scotland,5,0,0,-5,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Brazil,5,0,0,-5,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Canada,5,0,0,-5,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Egypt,6,0,0,-6,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Iran,6,0,0,-6,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Mexico,6,0,0,-6,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Saudi Arabia,6,0,0,-6,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Curacao,7,0,0,-7,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Haiti,7,0,0,-7,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Belgium,7,0,0,-7,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Iraq,8,0,0,-8,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Uruguay,9,0,0,-9,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Bosnia and Herzegovina,10,0,0,-10,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Paraguay,12,0,0,-12,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
Qatar,12,0,0,-12,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
South Africa,13,0,0,-13,Team Conduct Score converted to yellow-card-equivalent counts for model tiebreaker
